seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Fannie,Mason,22,Necpa View,Roviki,OK,66111,$8982.17,YELLOW,02/11/2017
2,Isabella,Nash,43,Fofsuc Street,Efcuwaz,PA,36549,$7810.13,GREEN,03/20/2064
3,Theodore,Black,57,Wikdo Extension,Bavejra,TN,96248,$1429.24,YELLOW,01/07/2051
4,Flora,Cummings,54,Jiful Grove,Itvozal,MT,94057,$4648.67,BLUE,03/16/1941
5,Helena,Patrick,26,Uwoho Loop,Neadde,FL,72771,$5346.85,YELLOW,01/02/1950
6,Evan,Daniel,27,Fuha View,Goksoha,VT,06612,$4476.08,WHITE,05/04/2018
7,Ollie,Roy,22,Muov Place,Mainovi,VA,82295,$425.59,YELLOW,08/26/1952
8,Lida,Hardy,46,Akok Ridge,Fivoruci,HI,00637,$5992.71,GREEN,06/09/1918
9,Edwin,Walton,58,Emoipe Avenue,Gorkebid,WA,73310,$4043.73,GREEN,08/07/1914
10,Jeffery,Holmes,33,Zufha Center,Facrezam,CA,57845,$8176.66,RED,10/23/1948
11,Ethel,Clarke,32,Tene Square,Gacgoapu,DC,56744,$1594.18,WHITE,11/09/2056
12,Delia,Keller,63,Mizev Terrace,Zaboce,AR,01325,$6975.75,GREEN,03/09/1910
13,Roy,Oliver,27,Belpu Place,Adlozdil,HI,28848,$7681.11,BLUE,09/12/1907
14,Nina,Alvarado,35,Adegom Highway,Gifpatut,NH,40963,$9784.28,BLUE,03/08/2070
15,Ricky,Johnson,38,Obawi Place,Nujunze,CO,09228,$3334.12,RED,05/18/1983
16,Alan,Gill,40,Dolza Avenue,Seblaso,OR,07945,$6615.63,WHITE,12/12/2042
17,Sophie,Gonzalez,38,Tahozi Road,Tazuhvu,UT,38937,$2056.57,RED,07/02/1917
18,Olga,Cain,35,Nogoz Loop,Gamileli,IN,43541,$8075.65,YELLOW,03/05/2009
19,Annie,Wheeler,33,Hefcap Terrace,Ehaocimuz,TX,82634,$6768.58,YELLOW,03/26/2042
20,Darrell,Roberson,40,Tozkof Pike,Ermatwig,NH,09296,$1420.61,WHITE,05/08/2033
21,Rodney,McKinney,45,Jakles Manor,Rebudag,VA,53552,$6949.30,GREEN,08/17/1980
